jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
Alabama,FALSE,2012,26768,FALSE,FALSE,4817528,21693,342,1296,5020,15035,168878,47481,111523,9874
Alaska,TRUE,2012,6308,FALSE,FALSE,730307,4412,30,583,630,3169,20037,2950,15565,1522
Arizona,FALSE,2012,40013,FALSE,FALSE,6551149,28077,358,2282,7383,18054,231701,52911,159808,18982
Arkansas,FALSE,2012,14043,FALSE,FALSE,2949828,13851,174,1233,2310,10134,109389,32673,70982,5734
California,FALSE,2012,132935,FALSE,FALSE,37999878,160944,1884,7837,56521,94702,1049465,245767,635090,168608
Colorado,FALSE,2012,20328,FALSE,FALSE,5189458,15951,152,2122,3392,10285,139355,26163,101091,12101
Connecticut,TRUE,2012,17164,FALSE,FALSE,3591765,10183,117,933,3709,5424,77169,14787,55904,6478
Delaware,TRUE,2012,6730,FALSE,FALSE,917053,5048,56,249,1498,3245,30707,7389,21880,1438
Florida,FALSE,2012,99835,FALSE,FALSE,19320749,94087,1009,5260,23889,63929,632988,153563,442095,37330
Georgia,FALSE,2012,55178,FALSE,FALSE,9915646,37675,583,2143,12502,22447,339473,86992,223875,28606
Hawaii,TRUE,2012,5297,FALSE,FALSE,1390090,3378,21,279,1125,1953,43419,7653,31901,3865
Idaho,FALSE,2012,7715,FALSE,FALSE,1595590,3348,30,495,243,2580,31825,7240,23203,1382
Illinois,FALSE,2012,49348,FALSE,TRUE,12868192,53556,770,3581,19480,29725,332706,71100,235314,26292
Indiana,FALSE,2012,28034,FALSE,FALSE,6537782,22544,307,1661,6601,13975,197994,47689,136668,13637
Iowa,FALSE,2012,8735,FALSE,FALSE,3075039,8167,49,901,962,6255,70357,17201,49116,4040
Kansas,FALSE,2012,9505,FALSE,FALSE,2885398,10292,85,1105,1493,7609,91066,18874,65413,6779
Kentucky,FALSE,2012,12998,FALSE,FALSE,4379730,9852,201,1312,3547,4792,112800,29877,76199,6724
Louisiana,FALSE,2012,18601,FALSE,FALSE,4602134,22839,489,1155,5458,15737,162673,42037,112764,7872
Maine,FALSE,2012,1977,FALSE,FALSE,1328501,1626,26,372,420,808,33398,7476,24931,991
Maryland,FALSE,2012,21810,FALSE,FALSE,5884868,28086,373,1237,10173,16303,162309,33803,113550,14956
Massachusetts,FALSE,2012,11127,FALSE,FALSE,6645303,27047,121,1650,6555,18721,143325,34635,99453,9237
Michigan,FALSE,2012,43594,FALSE,FALSE,9882519,44962,701,4635,10423,29203,249249,65560,158609,25080
Minnesota,FALSE,2012,9421,FALSE,FALSE,5379646,12419,99,1638,3475,7207,138152,25378,104316,8458
Mississippi,FALSE,2012,15791,FALSE,FALSE,2986450,7769,213,819,2277,4460,83933,28084,51520,4329
Missouri,FALSE,2012,31205,FALSE,FALSE,6024522,27189,390,1527,5782,19490,199813,42510,140971,16332
Montana,FALSE,2012,3095,FALSE,FALSE,1005494,2803,29,392,202,2180,26102,3920,20484,1698
Nebraska,FALSE,2012,4721,FALSE,FALSE,1855350,4802,52,710,1128,2912,51203,8745,38301,4157
Nevada,FALSE,2012,12594,FALSE,FALSE,2754354,16763,124,931,4918,10790,77510,22120,45372,10018
New Hampshire,FALSE,2012,2568,FALSE,FALSE,1321617,2841,15,486,471,1869,32074,5988,25024,1062
New Jersey,FALSE,2012,23050,FALSE,FALSE,8867749,25727,388,1035,11385,12919,181481,42338,122662,16481
New Mexico,FALSE,2012,6640,FALSE,FALSE,2083540,11660,116,957,1847,8740,75094,21384,48247,5463
New York,FALSE,2012,54058,TRUE,FALSE,19576125,79535,683,2837,28633,47382,375268,64389,293562,17317
North Carolina,FALSE,2012,37378,FALSE,FALSE,9748364,34464,479,1984,9392,22609,328594,99323,213151,16120
North Dakota,FALSE,2012,1413,FALSE,FALSE,701345,1723,25,279,127,1292,14297,2429,10687,1181
Ohio,FALSE,2012,50872,FALSE,FALSE,11553031,34827,478,3813,15396,15140,370435,105312,245372,19751
Oklahoma,FALSE,2012,24370,FALSE,FALSE,3815780,18102,220,1622,3248,13012,130969,36094,83131,11744
Oregon,FALSE,2012,14123,FALSE,FALSE,3899801,9638,91,1159,2419,5969,126417,22051,94114,10252
Pennsylvania,FALSE,2012,50228,FALSE,FALSE,12764475,45384,707,3371,15735,25571,276562,57040,204409,15113
